Titles,SubTitle,Fields,Salaries,Locations,Cities,Experiences,Enrollment_statuses,Employment type,Working Condition,Internship info,Educations,Dates,Job Places,Demands,Responsibilities,Professional skills,Soft skills,Languages
Пошта бастығы,Начальник Самарского районного узла почтовой связи,Көлік және логистика,247 521 тг. бастап,"""Қазпошта"" акционерлік қоғамының Шығыс Қазақстан облыстық филиалы","Шығыс Қазақстан облысы, Самар ауданы, Самарское а.",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,"Контроль и организация качественного и культурного обслуживания физических и юридических лиц и предоставление почтовых, финансовых, агентских, и иных услуг (дополнительных и договорных);
Повышение эффективности и рентабельности производства, обеспечение роста производительности труда на основе автоматизации и механизации производственных процессов, внедрения современных, прогрессивных технологических и информационно-аналитических систем;","Өндірістік-шаруашылық қызметке басшылық ету;
                                            



                                                Өндірістік процесті ұйымдастыру;","Жауапкершілік;
                                        

                                            Стратегиялық ойлау;","Қазақ / жоғары деңгей
  Орыс / жоғары деңгей"
"Бас маман, E-G-3 санаты","главный специалист Государственного учреждения ""Аппарат акима Ащинского сельского округа""",Мемлекеттік қызмет,210 086 тг. бастап,"""Ақтөбе облысы Байғанин ауданы Ащы ауылдық округі әкімінің аппараты"" мемлекеттік мекемесі","Ақтөбе облысы, Байғанин ауданы, Ноғайты а.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,"высшее образование, техническое и профессиональное образование, послевузовское образование, послесреднее образование, профессиональное образованиеСпециальности: Учет и аудит, Экономика, Финансы, Государственное и местное управление","Ведение бухгалтерского учета по программе бюджетной классификации;Своевременное и целевое освоение выделенных средств;Подготовка,направление на утверждение штатного расписания рабочих, служащих аппарата в зависимости от трудового стажа; начисление, перечисление ежемесячной оплаты труда,оплаты отпусков, лечебно-оздоровительных , материальных пособий рабочих, служащих аппарата ; Своевременное перечисление налогов и других обязательных платежей в бюджет;
Прием , расчет авансовых отчетов сотрудников учреждения и водителя автотранспорта во время командировки;
Выполнение работ через Казначейско-клиентскую систему с целью освоения финансов,Перечисление счетов к оплате, регистрация договоров; работа в соответствии с Законом Республики Казахстан от 4 декабря 2015 года «О государственных закупках"" ;Заключение договоров с соответствующими учреждениями, взаиморасчеты по задолженности, задолженности; подготовка счета на оплату перечисления по предоставленным счетам, перечисление;
Размещение отчетности договоров из одних и тех же источников с прямыми заключениями договоров; сдача квартальной, полугодовой, годовой финансовой и бюджетной отчетности, ежемесячная, ежеквартальная статистическая отчетность, ежеквартальная налоговая отчетность, сдача отчетности платы за эмиссию в окружающую среду ГСМ, использованного на автотранспорт учреждения; Инвентаризация введенных объектов, основных средств, находящихся на балансе акима сельского округа, ввод вновь принятых, закрепление за каждым работником ответственности, списание недействительных с актом;
Обеспечение сохранности переданного коммунального имущества; обеспечение аппарата канцелярским оборудованием и ведение учета. Ведение журналов командировок и доверенностей , командировочных журналов,договоров, счетов к оплате; работа по переписке с учреждениями в области финансов и экономики и др., подготовка оперативных сведений к поступившим поручениям;Проводит другие работы, связанные с поручениями акима округа;Осуществляет задачи и функции, определяемые законодательством Республики Казахстан в сфере государственной службы.",,,
"Бас сарапшы, С-4 санаты",главный эксперт управления по расследованию авиационных происшествий и инцидентов Департамента по расследованию происшествий и инцидентов на транспорте,Мемлекеттік қызмет,323 914 тг. бастап,"""Қазақстан Республикасының Көлік министрлігі"" мемлекеттік мекемесі","Астана қ., ""Есіл"" ауданы",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары оқу орыннан кейін,08.05.2025 жарияланды,1,"высшее образование, послевузовское образованиеСпециальности: Юриспруденция, Летная эксплуатация летательных аппаратов и двигателей, Космическая техника и технологии, Транспортные услуги, Авиационная техника и технологии","Участие в расследованиях авиационных событий с воздушными судами по своей компетенции, руководствоваться принципами объективности и беспристрастности. Строгое соблюдение Приказа Министра по инвестициям и развитию Республики Казахстан от 27 июля 2017 года № 505 «Об утверждении Правил расследования авиационных происшествий и инцидентов в гражданской и экспериментальной авиации». Строгое придерживание стандартов и рекомендаций Международной организации гражданской авиации (ИКАО).",,,
Үй-жайларды тазалаушы,Сыңғырлау ауылдық клубына уақытша қызметтік үй-жайларды тазалаушы,Біліктілігі жоқ мамандықтар,от 85 000 до 90 000 тг.,"Бейнеу аудандық әкімдігінің ""Бейнеумәдениет"" мемлекеттік коммуналдық қазыналық кәсіпорыны","Маңғыстау облысы, Бейнеу ауданы, Бейнеу а.",Еңбек өтілі жоқ,толық жұмыс күні,уақытша,қалыпты,Болжанбайды,ортадан кейін,08.05.2025 жарияланды,1,,,"Өндірістік үй-жайларды жинау;
                                            



                                                Тазалау, жуу, зарасыздандыру үшін ерітінділерді жасау;
                                            



                                                Аппараттарды тазалау және жуу, санитарлық-гигиеналық талаптарды орындау;
                                            



                                                Қоғамдық аймақтар мен қызметтік үй-жайларды жинау;
                                            



                                                Этаждарға(көп қабатты уйлер) қызмет көрсету;","Бейімділік;
                                        

                                            Жауапкершілік;
                                        

                                            Ұқыптылық;",
"Бас сарапшы, С-4 санаты",главный эксперт управления по расследованию происшествий на железнодорожном и водном транспорте Департамента по расследованию происшествий и инцидентов на транспорте,Мемлекеттік қызмет,323 914 тг. бастап,"""Қазақстан Республикасының Көлік министрлігі"" мемлекеттік мекемесі","Астана қ., ""Есіл"" ауданы",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары оқу орыннан кейін,08.05.2025 жарияланды,1,"высшее образование, послевузовское образованиеСпециальности: Автоматизация и управление, Юриспруденция, Морская техника и технологии, Транспортное строительство, Организация перевозок, движения и эксплуатация транспорта, Транспорт, транспортная техника и технологии, Стандартизация, сертификация и метрология (по отраслям), Транспортные услуги, Международные отношения","Осуществлять расследование аварийных случаев с морскими судами, согласно компетенции, определенной нормативными правовыми актами Республики Казахстан. Осуществлять участие в расследовании происшествий на железнодорожном транспорте, согласно компетенции, определенной нормативными правовыми актами Республики Казахстан. Осуществлять расследование транспортных происшествий с судами, в том числе маломерными судами, на внутренних водных путях, согласно компетенции, определенной нормативными правовыми актами Республики Казахстан. Осуществлять расследование транспортных происшествий с судами, подлежащими государственной регистрации в судовой книге. Участвовать в расследовании аварийных случаев с судами, плавающими под Государственным флагом Республики Казахстан в международных и территориальных водах, а также под флагом иностранного государства в территориальных водах Республики Казахстан. Составлять мотивированное заключение по завершении расследования транспортных происшествий на железнодорожном и водном транспорте. Направлять мотивированное заключение участникам и заинтересованным лицам. Вести статистику транспортных происшествий на железнодорожном и водном транспорте. Исполнять требования, стандарты и рекомендуемую практику Международной морской организации (ИМО) по внедрению их в работу Управления для соответствия международным стандартам, прохождения аудита и применения в работе. Принимает участие в разработке нормативных правовых актов в сфере расследований по железнодорожному и водному транспорту. Исполнять указания данные директором Департамента и руководителем Управления по вопросам, входящим в сферу деятельности Департамента. Подготавливать информационные, справочные и иные материалы к совещаниям Министерства и Департамента по вопросам расследований на железнодорожном и водном транспорте. По поручению директора Департамента и руководителя Управления выполнять весь комплекс работ в соответствии с задачами, возложенными на Управление. Привлекать соответствующих специалистов для участия в расследованиях и экспертизах по вопросам, отнесенным к компетенции Министерства. При проведении расследований должен руководствоваться принципам объективности и беспристрастности. Соблюдать требования в области информационно-коммуникационных технологий и обеспечения информационной безопасности. По итогам международного сотрудничества (командировки, встречи, совещания, беседы с иностранными партнерами) составлять краткий отчет о проведенных мероприятиях по форме, утвержденной решением Министра транспорта Республики Казахстан, который вносится для учета в Департамент международного сотрудничества Министерства не позднее двух рабочих дней со дня проведения встречи или выхода на работу. Выполнять иные обязанности, входящие в компетенцию Управления.",,,
Зейнетақымен қамсыздандыру жөніндегі маман,Ведущий специалист Операционного отдела Северо - Казахстанского областного филиала,Әлеуметтік қызмет көрсету,155 000 тг. бастап,"""Бірыңғай жинақтаушы зейнетақы қоры"" акционерлік қоғамы","Солтүстік Қазақстан облысы, Петропавл қ.",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,"Образование -Высшее экономическое (предпочтительно) или юридическое, или техническое, или социологическое, или педагогическое.оказывает консультационную поддержку вкладчикам обязательных пенсионных взносов, физическим лицам, за которых перечислены обязательные пенсионные взносы работодателя, обязательные профессиональные пенсионные взносы, добровольные пенсионные взносы (получателям пенсионных выплат), получателям целевых накоплений (далее &amp;ndash; получатели услуг Фонда) при обслуживании в зонах самостоятельного обслуживания филиала; осуществляет обслуживание получателей услуг Фонда в офисах и вне офисов филиала Фонда; осуществляет консультации по всем видам услуг, предоставляемых Фондом; осуществляет информационно-разъяснительную работу по повышению финансово-правовой грамотности населения в части накопительного пенсионного обеспечения в Республике Казахстан; принимает, проверяет и регистрирует заявления о назначении пенсионных выплат, о назначении целевых накоплений, установленном действующим законодательством и внутренними нормативными документами Фонда; осуществляет выдачу выписок со счетов получателя услуг Фонда в порядке, установленном действующим законодательством Республики Казахстан и внутренними нормативными документами Фонда и др.","консультация клиентов;
                                            



                                                обслуживание физ;
                                            



                                                Клиенттерге ақпараттық-анықтамалық кеңес беру;
                                            



                                                Жеке және заңды тұлғаларға қызмет көрсету;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Күйзеліске тұрақтылық;
                                        

                                            Командада жұмыс істей білу;",
Ұйымдастырушы мұғалім,лагерь басшысы,Білім беру және тәрбиелеу,180 544 тг. бастап,«Батыс Қазақстан облысы әкімдігі білім басқармасының Казталов ауданы білім беру бөлімінің «Балалар шығармашылығы және жаңа технологиялар орталығы» мемлекеттік коммуналдық қазыналық кәсіпорны,"Батыс Қазақстан облысы, Казталовка ауданы, Казталовка а.",3 жыл жұмыс өтілі,толық жұмыс күні,маусымдық,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,"Лагерь басшысы лагерьді басқаруды жүзеге асырады.Лагерь қызметінің барлық жетекшілігін қамтамасыз етеді.Жазғы маусым дайындық жұмыстарын жоспарлайды.Лагерь ұйымдастырушы оның ішкі тәртіп ережесін келісім бойынша бекітеді,лагерь бойынша қаулы және бұйрықтар береді, арнайы журналға тіркейді.Ұйымдастырушының келісімінен кейін,бекітетін лагерьдегі жұмыскерлер ауысымының міндетті қызметін,оларды еңбек шарттарымен таныстыру,техника қауіпсіздігі бойынша лагерь ауысымының нұсқаулық жұмыскерімен жастар және балалардың жарақаттың алдын алу туралы профилактикалық жұмыстар жүргізеді.Лагерь жұмыскерлерінің жұмысқа шығу кестесін құру.Педагогикалық және лагерь қызметкерлерінің жұмыстарын жоспарлап,орындауын бақылайды.Балалар мен қызметкерлердің денсаулықтарын сақтау мақсатында қажетті жағдай ұйымдастырады.Еңбек шартының орындалуын қадағалайды. Оқу-материалдық базасын толықтыру және сакталуын ұйымдастырады.Асханада және қосалқы бөлмелеріне жауапты қызметкерлерін тағайындайды. Балалар тамақтануын және шаруашылық-қаржылық қызметін өз жауапкершілігіне алады.Лагерьде дезинфекциялық жұмыстардың жүргізілуін қадағалайды.Антисептиктердің үнемі және қолжетімді жерде болуын,санитайзерлердің жұмыс істеуін қамтамасыз етеді.Әр маусым ашу алдында дезинфекциялау құралдарын қолдана отырып,күрделі тазалау жұмыстарының жүргізілуін бақылайды.Барлық оқушылардың лагерге бір мезетте келуі (бір күнде) және бір мезетте шығуын жүзеге асырады.Шектеу шараларының қатаң сақталуын қадағалайды Лагерьге келу кезінде әрбір бала мен ересектерді жанаспайтын термометрлермен тексеріп, нәтижелерінің тексеру журналдарына толтырылуын тексереді.Балаларды қабылдайтын барлық қызметкерлерде маскаларының болуын тексереді.","Жұмыс орнын ұйымдастыру және дайындау;
                                            



                                                Оқушылардың шығармашылық қабілеттерін дамыту;
                                            



                                                Оқушының өзіндік жұмысын жоспарлау және ұйымдастыру;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Шыдамдылық;
                                        

                                            Командада жұмыс істей білу;",
Объект күзетшісі,Охранник,Қауіпсіздік және ТЖ,100 000 тг. бастап,"""ТАРЛАН САРБАЗ"" жауапкершілігі шектеулі серіктестігінің Түркістан қаласындағы филиалы","Түркістан облысы, Ордабасы ауданы, Темірлан а.",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,4,,,"Визуалды бақылау;
                                            



                                                Ұйым мүлкінің сақталуы;","Жауапкершілік;
                                        

                                            Дербестік және жауапкершілік;",
Бас бухгалтердің орынбасары,бухгалтер,Басшылар,от 130 000 до 180 000 тг.,"""Алматы қаласы Білім басқармасының ""№ 211 мектеп-гимназия"" коммуналдық мемлекеттік мекемесі","Алматы  қ., Түркісіб ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Есеп, жоспарлау және есептілік;
                                            



                                                Қызмет түрлері бойынша жоспарлау және бақылау;
                                            



                                                Бухгалтерлік есепті және қаржы-шаруашылық қызметті ұйымдастыру;
                                            



                                                Бюджетті атқару мәселелерінің мәртебесін бағалау;","Жауапкершілік;
                                        

                                            Командада жұмыс істей білу;",
Бау-бақша өсіруші,садовник,Ауыл шаруашылығы,от 105 000 до 135 000 тг.,"""Алматы қаласы Білім басқармасының ""№ 211 мектеп-гимназия"" коммуналдық мемлекеттік мекемесі","Алматы  қ., Түркісіб ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,,"Ағаштар мен бұталардың ауруларын анықтау;
                                            



                                                Суару;","Жауапкершілік;
                                        

                                            Дербестік және жауапкершілік;
                                        

                                            Командада жұмыс істей білу;",
Кәсіпорын директорының орынбасары,Заместитель директора,Басшылар,от 300 000 до 400 000 тг.,"""Петропавл қаласының тұрғын үй қызметі"" жауапкершілігі шектеулі серіктестігі","Солтүстік Қазақстан облысы, Петропавл қ.",5 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Өндірістің қазіргі заманғы технологиялары мен тәртіптерін енгізу;
                                            



                                                Бренд пен имиджді қалыптастыру бойынша іс-шаралар өткізу;
                                            



                                                Еңбекті ұтымды ұйымдастыру;
                                            



                                                Құрылымдық бөлімшелердің жұмысын үйлестіру, ұйымдастыру және бағыттау;","Бейімділік;
                                        

                                            Бизнесті түсіну;
                                        

                                            Ұқыптылық;
                                        

                                            Дербестік және жауапкершілік;",
Мейіргер (жалпы бейін),"Медицинскаяий сестра/брат в Кордайскую ЦРБ, отделение приемного покоя на время отсутствия основного работника",Медицина және фармацевтика,от 188 000 до 189 000 тг.,"""Жамбыл облысы әкімдігінің денсаулық сақтау басқармасы Қордай аудандық орталық ауруханасы"" шаруашылық жүргізу құқығындағы мемлекеттік коммуналдық кәсіпорны","Жамбыл облысы, Қордай ауданы, Қордай а.",2 жыл жұмыс өтілі,толық жұмыс күні,уақытша,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,"Дәрігерге дейінгі медициналық көмек көрсету;
                                            



                                                Алғашқы медициналық көмек көрсету;",Жауапкершілік;,
Бухгалтер,,Қаржы және бухгалтерлік есеп,150 000 тг. бастап,"""Әйтеке би аудандық кәсіпкерлік бөлімі"" мемлекеттік мекемесі","Ақтөбе облысы, Әйтеке би ауданы, Комсомол а.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,"Белгіленген есеп нысандарын жүргізу;
                                            



                                                Кассалық, ұйымдастырушылық-өкімдік, есептік құжаттарды жүргізу;",Жауапкершілік;,
Вахтер,вахтер,Қауіпсіздік және ТЖ,от 90 000 до 100 000 тг.,Шығыс Қазақстан облысы білім басқармасы Өскемен қаласы бойынша білім бөлімінің «№ 40 жалпы орта білім беретін мектебі» коммуналдық мемлекеттік мекемесі,"Шығыс Қазақстан облысы, Өскемен қ.",Еңбек өтілі жоқ,ауысымды,тұрақты,қалыпты,Болжанбайды,ортадан кейін,08.05.2025 жарияланды,2,,,"Мүліктің сақталуын қадағалау;
                                            



                                                Беру бойынша кезекшілікті ауыстыру;
                                            



                                                Ұйым мүлкінің сақталуы;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Сыпайылық;",Қазақ / жоғары деңгей
Жедел жәрдем машинасының жүргізушісі,,Көлік және логистика,85 000 тг. бастап,"Батыс Қазақстан облысы әкімдігі денсаулық сақтау басқармасының ""Сырым аудандық ауруханасы"" шаруашылық жүргізу құқығындағы мемлекеттік коммуналдық кәсіпорыны","Батыс Қазақстан облысы, Сырым ауданы, Жымпиты а.",3 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,"Должен знать правила дорожного движения.Соблюдение трудовой и исполнительской дисциплины;Качественное и своевременное исполнение трудовых обязанностей, предусмотренной инструкцией, трудовым договором;Выполнение планов работы структурного подразделения;Выполнение поручений руководства;Соблюдение норм деловой этики и корпоративной культуры, установленных общепринятыми морально-этическими нормами;Подтянутость и аккуратность, соблюдение делового стиля одежды в период исполнения трудовых обязанностей;Выполнение профессиональных функций добросовестно и разумно, с должной заботой и осмотрительностью в интересах предприятия, избегая конфликтов;","Машинаны күту, ақауларды іздеу және жою;
                                            



                                                Автомобильді жүргізе білу;
                                            



                                                Жол қозғалысы ережелерін білу;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Тез шешім қабылдай білу;",
Бала бақшасындағы күтуші,Няня в детском саду,Білім беру және тәрбиелеу,от 90 000 до 120 000 тг.,"Ұлытау облысы білім басқармасының Қаражал қаласы білім бөлімінің ""Балбөбек"" бөбекжайы"" коммуналдық мемлекеттік қазыналық кәсіпорыны","Ұлытау облысы, Қаражал қ.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,,няня;,Жауапкершілік;,Қазақ / жетік деңгей
Өндірістік және қызметтік орындарын жинаушы,Уборщик пройзводственных и служебных помещений,Біліктілігі жоқ мамандықтар,от 90 000 до 91 000 тг.,«Атырау облысы Білім беру басқармасының Атырау қаласы білім бөлімінің «№37 «Болашақ» бөбекжай-бақшасы» коммуналдық мемлекеттік қазыналық кәсіпорны,"Атырау облысы, Атырау қ., Еркінқала а.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,ортадан кейін,08.05.2025 жарияланды,2,,,"Өндірістік үй-жайларды жинау;
                                            



                                                Аппараттарды тазалау және жуу, санитарлық-гигиеналық талаптарды орындау;
                                            



                                                Қоғамдық аймақтар мен қызметтік үй-жайларды жинау;
                                            



                                                Этаждарға(көп қабатты уйлер) қызмет көрсету;","Ұқыптылық;
                                        

                                            Дербестік және жауапкершілік;",
Әдіскер,методист,Білім беру және тәрбиелеу,от 100 000 до 150 000 тг.,"Ұлытау облысы білім басқармасының Қаражал қаласы білім бөлімінің ""Балбөбек"" бөбекжайы"" коммуналдық мемлекеттік қазыналық кәсіпорыны","Ұлытау облысы, Қаражал қ.",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,Жұмысты ұйымдастыру-әдістемелік қамтамасыз ету;,"Жауапкершілік;
                                        

                                            Командада жұмыс істей білу;",
"Кабинет меңгерушісі (қауіпсіздік техникасы жөніндегі, техникалық, оқу-әдістемелік, оқу және т.б.)",заведующий директора по хозяйственной части,Басшылар,от 150 000 до 180 000 тг.,"""Алматы қаласы Білім басқармасының ""№ 211 мектеп-гимназия"" коммуналдық мемлекеттік мекемесі","Алматы  қ., Түркісіб ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Өндірістік-шаруашылық қызметке басшылық ету;
                                            



                                                Белгіленген есеп пен есептілікті жүргізу;
                                            



                                                Қауіпсіздік техникасы бойынша нұсқаулықтар өткізу;","Жауапкершілік;
                                        

                                            Ұқыптылық;",
Хатшы,Секретарь,HR және хатшылық,от 85 000 до 90 000 тг.,"Ұлытау облысы білім басқармасының Қаражал қаласы білім бөлімінің ""Балбөбек"" бөбекжайы"" коммуналдық мемлекеттік қазыналық кәсіпорыны","Ұлытау облысы, Қаражал қ.",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,Іс қағаздарын жүргізу;,Жауапкершілік;,
Тәрбиеші,воспитатель,Білім беру және тәрбиелеу,от 110 000 до 150 000 тг.,"Ұлытау облысы білім басқармасының Қаражал қаласы білім бөлімінің ""Балбөбек"" бөбекжайы"" коммуналдық мемлекеттік қазыналық кәсіпорыны","Ұлытау облысы, Қаражал қ.",Еңбек өтілі жоқ,толық жұмыс күні,уақытша,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,2,,,воспитатель;,Жауапкершілік;,Орыс / орташа деңгей
Ғимараттарды жөндеу және қызмет көрсету жөніндегі жұмысшы,Рабочий по комплексному обслуживанию и ремонту зданий,Біліктілігі жоқ мамандықтар,от 85 000 до 86 000 тг.,«Атырау облысы Білім беру басқармасының Атырау қаласы білім бөлімінің «№37 «Болашақ» бөбекжай-бақшасы» коммуналдық мемлекеттік қазыналық кәсіпорны,"Атырау облысы, Атырау қ., Еркінқала а.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,Қарапайым жөндеу жұмыстары;,Жауапкершілік;,
Бухгалтер,,Қаржы және бухгалтерлік есеп,от 200 000 до 250 000 тг.,"ИП ""КАПИТАЛ""","Атырау облысы, Атырау қ.",3 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,"Ведение первичной документации, поступление, реализация
ЭСФ, СНТ.
Сверка с контрагентами
Формирование и сверка реестров, проверка правильности заполнения первичных документов
Расчет и начисление заработной платы работникам. 
Подготовка статистической отчетности по заработной плате и налогам.
Налоговые отчеты
Работа с программой 1С","Белгіленген есеп нысандарын жүргізу;
                                            



                                                Салық және басқа да міндетті төлемдерді есептеу және аудару;
                                            



                                                Бухгалтерлік есепті және қаржы-шаруашылық қызметті ұйымдастыру;
                                            



                                                1С:Бухгалтерия бағдарламасында жұмыс;","Бейімділік;
                                        

                                            Жауапкершілік;",
